subject_id,study,Cohort,Race,Gender,First-Generation,bedtime_mssd,total_sleep_time,midpoint_sleep,frac_nights_with_data,daytime_sleep,Cumulative GPA,End-of-term GPA,term_units,Relative Course Load,time_collection,University
69,2,uw1,Underrepresented,Female,Non-first gen,1.759210285,328.1666667,430.875,0.428571429,17.08333333,2.939285286,1.7,15,0.373361342,"Spring, 2018",UW
73,2,uw1,Non-underrepresented,Female,Non-first gen,0.175588235,418.1666667,325.25,0.642857143,18.22222222,4,3.972727,11,-1.368991587,"Spring, 2018",UW
74,2,uw1,Non-underrepresented,Female,Non-first gen,0.080836621,432.1851852,478.0925926,0.964285714,41.55555556,3.6999995,3.623076,13,-0.497815123,"Spring, 2018",UW
75,2,uw1,Non-underrepresented,Female,Non-first gen,0.079898643,487.4642857,305.9464286,1,36.92857143,3.82,3.66923,13,-0.497815123,"Spring, 2018",UW
87,2,uw1,Non-underrepresented,Female,Non-first gen,0.074575903,408.75,297.3928571,1,18.92857143,3.749999643,3.875,16,0.808949574,"Spring, 2018",UW
91,2,uw1,Non-underrepresented,Female,Non-first gen,0.108675888,369.5357143,358.4285714,1,67.57142857,3.818749563,3.752941,17,1.244537807,"Spring, 2018",UW
92,2,uw1,Non-underrepresented,Female,Non-first gen,0.155477442,485.7142857,314.2857143,1,27.42857143,3.077418968,3.230769,13,-0.497815123,"Spring, 2018",UW
93,2,uw1,Non-underrepresented,Female,Non-first gen,5.344766667,485.1666667,497,0.214285714,114,3.856521391,3.95,10,-1.80457982,"Spring, 2018",UW
102,2,uw1,Underrepresented,Female,Non-first gen,0.607304405,497.3571429,507.9285714,0.5,50.07142857,2.603447931,3.9,13,-0.497815123,"Spring, 2018",UW
103,2,uw1,Non-underrepresented,Female,Non-first gen,0.129575719,383.6666667,327.125,0.857142857,6.625,3.913792345,4,15,0.373361342,"Spring, 2018",UW
106,2,uw1,Underrepresented,Female,Non-first gen,2.027127778,291.4545455,605.8636364,0.392857143,44.27272727,3.45999992,3.566666,15,0.373361342,"Spring, 2018",UW
109,2,uw1,Non-underrepresented,Female,Non-first gen,0.106907556,371.0769231,330.9615385,0.928571429,51.03846154,3.315151182,3.721428,14,-0.06222689,"Spring, 2018",UW
111,2,uw1,Underrepresented,Female,Non-first gen,0.54766276,454.7058824,450.2058824,0.607142857,46.17647059,3.2799998,3.5,10,-1.80457982,"Spring, 2018",UW
113,2,uw1,Underrepresented,Female,Non-first gen,0.131948255,355.8214286,409.2857143,1,59.25,3.3799998,3.5,15,0.373361342,"Spring, 2018",UW
115,2,uw1,Non-underrepresented,Female,Non-first gen,12.92842222,380.1666667,724.6666667,0.214285714,9.166666667,3.4156245,3.233333,15,0.373361342,"Spring, 2018",UW
116,2,uw1,Non-underrepresented,Female,Non-first gen,0.942780612,423.4666667,320.9333333,0.535714286,90,3.675,3.538461,13,-0.497815123,"Spring, 2018",UW
118,2,uw1,Non-underrepresented,Female,Non-first gen,0.186487603,387.0434783,298.9782609,0.821428571,17.82608696,3.43999985,3.5,10,-1.80457982,"Spring, 2018",UW
122,2,uw1,Non-underrepresented,Female,Non-first gen,0.474972565,482.6,416.3,0.357142857,44.2,3.326086652,3.033333,15,0.373361342,"Spring, 2018",UW
124,2,uw1,Underrepresented,Female,Non-first gen,0.643803155,418.7,368.9,0.357142857,48.7,3.111110778,3.2,15,0.373361342,"Spring, 2018",UW
126,2,uw1,Non-underrepresented,Female,Non-first gen,0.252284433,408.48,320.44,0.892857143,90.44,3.8799998,3.961538,13,-0.497815123,"Spring, 2018",UW
127,2,uw1,Underrepresented,Female,Non-first gen,0.184224444,359.2307692,345.7307692,0.928571429,39.23076923,3.621739,3.592307,13,-0.497815123,"Spring, 2018",UW
128,2,uw1,Non-underrepresented,Female,Non-first gen,7.477890947,412.3,283.05,0.357142857,15.8,3.8666665,3.966666,15,0.373361342,"Spring, 2018",UW
130,2,uw1,Non-underrepresented,Female,Non-first gen,0.04155807,511.6071429,264.4642857,1,29.67857143,3.916666,3.9,15,0.373361342,"Spring, 2018",UW
136,2,uw1,Non-underrepresented,Female,Non-first gen,0.049951227,458,363.4642857,1,27.25,3.7,3.933333,15,0.373361342,"Spring, 2018",UW
141,2,uw1,Non-underrepresented,Female,Non-first gen,0.142999132,451.84,316.18,0.892857143,51.88,3.333332556,2.533333,15,0.373361342,"Spring, 2018",UW
146,2,uw1,Non-underrepresented,Female,Non-first gen,0.32452334,392.5185185,359.1296296,0.964285714,39.44444444,3.955172,3.964285,14,-0.06222689,"Spring, 2018",UW
153,2,uw1,Non-underrepresented,Female,Non-first gen,0.054510364,393.1071429,319.625,1,23.21428571,3.579999833,3.966666,12,-0.933403355,"Spring, 2018",UW
155,2,uw1,Non-underrepresented,Female,Non-first gen,0.098910227,406.7142857,398.9285714,1,22.64285714,3.913792862,3.952941,17,1.244537807,"Spring, 2018",UW
157,2,uw1,Non-underrepresented,Female,Non-first gen,0.172579256,361.8214286,471.25,1,29.92857143,3.458620069,3.55,10,-1.80457982,"Spring, 2018",UW
158,2,uw1,Non-underrepresented,Female,Non-first gen,0.254525778,364.8846154,326.9230769,0.928571429,67.19230769,3.090624375,2.9,18,1.680126039,"Spring, 2018",UW
165,2,uw1,Non-underrepresented,Female,Non-first gen,0.252345679,436.36,355.94,0.892857143,57.72,3.725806129,3.733333,15,0.373361342,"Spring, 2018",UW
166,2,uw1,Non-underrepresented,Female,Non-first gen,0.172248895,432.5714286,333.3928571,1,27.35714286,3.892856357,3.833333,15,0.373361342,"Spring, 2018",UW
167,2,uw1,Non-underrepresented,Female,Non-first gen,0.59007233,399.35,425.075,0.714285714,87.1,3.72,3.566666,15,0.373361342,"Spring, 2018",UW
170,2,uw1,Non-underrepresented,Female,Non-first gen,0.00450503,487.0714286,282.4821429,1,42.07142857,3.7999995,3.766666,15,0.373361342,"Spring, 2018",UW
171,2,uw1,Non-underrepresented,Female,Non-first gen,0.152449846,460.5384615,335.1923077,0.464285714,19.92307692,3.316666,3.233333,12,-0.933403355,"Spring, 2018",UW
175,2,uw1,Non-underrepresented,Female,Non-first gen,0.101027282,413.6785714,376.9107143,1,12.35714286,3.7499995,3.744444,18,1.680126039,"Spring, 2018",UW
179,2,uw1,Non-underrepresented,Female,Non-first gen,0.050706066,430.4642857,296.4464286,1,34.96428571,4,3.966666,15,0.373361342,"Spring, 2018",UW
180,2,uw1,Underrepresented,Female,Non-first gen,0.073322222,447.8846154,315.0961538,0.928571429,36.26923077,2.637930517,3.483333,18,1.680126039,"Spring, 2018",UW
188,2,uw1,Non-underrepresented,Female,Non-first gen,0.069481405,435.1785714,319.7857143,1,30.39285714,3.645454394,3.83125,16,0.808949574,"Spring, 2018",UW
191,2,uw1,Underrepresented,Female,Non-first gen,0.510052202,388.9642857,384.3214286,1,40.92857143,3.299999586,3.4,15,0.373361342,"Spring, 2018",UW
193,2,uw1,Non-underrepresented,Female,Non-first gen,0.183817801,374.4444444,381.4259259,0.964285714,43.74074074,3.910714143,3.8,15,0.373361342,"Spring, 2018",UW
195,2,uw1,Non-underrepresented,Female,Non-first gen,1.234155329,404.375,327.1875,0.285714286,59.5,2.608695217,2.866666,15,0.373361342,"Spring, 2018",UW
198,2,uw1,Non-underrepresented,Female,Non-first gen,1.333217401,435.4347826,433.9782609,0.821428571,20.86956522,3.1999995,2.9,15,0.373361342,"Spring, 2018",UW
199,2,uw1,Non-underrepresented,Female,Non-first gen,0.153960695,437.1363636,318.3863636,0.785714286,25,3.08,3.633333,15,0.373361342,"Spring, 2018",UW
306,3,uw2,Non-underrepresented,Female,Non-first gen,0.041045953,421.6428571,355.7142857,1,29.28571429,3.865,3.87,15,0.041207105,"Spring, 2019",UW
307,3,uw2,Non-underrepresented,Female,Non-first gen,0.029149338,434.1666667,322.625,0.857142857,26.04166667,3.458,3.29,14,-0.479500856,"Spring, 2019",UW
312,3,uw2,Non-underrepresented,Female,Non-first gen,0.048323356,390.0416667,335.1041667,0.857142857,43.875,3.2928125,3.76,16,0.561915066,"Spring, 2019",UW
323,3,uw2,Non-underrepresented,Female,Non-first gen,0.47581443,406.4583333,464.8333333,0.857142857,23.58333333,2.958275862,2.8,13,-1.000208817,"Spring, 2019",UW
324,3,uw2,Non-underrepresented,Female,Non-first gen,0.097755969,460.173913,424.7826087,0.821428571,34.82608696,2.625,3,15,0.041207105,"Spring, 2019",UW
331,3,uw2,Non-underrepresented,Female,Non-first gen,0.016025597,414.3913043,385.9782609,0.821428571,43.95652174,3.05,3.25,15,0.041207105,"Spring, 2019",UW
335,3,uw2,Non-underrepresented,Female,Non-first gen,0.075667962,357.2142857,412.2321429,1,31.78571429,2.822222222,2.68,14,-0.479500856,"Spring, 2019",UW
338,3,uw2,Non-underrepresented,Female,Non-first gen,0.217173333,412.6153846,356.0769231,0.928571429,13.26923077,3.695517241,3.84,16,0.561915066,"Spring, 2019",UW
339,3,uw2,Non-underrepresented,Female,Non-first gen,0.051998685,485.1481481,330.1481481,0.964285714,28.62962963,3.702,3.79,12,-1.520916778,"Spring, 2019",UW
340,3,uw2,Non-underrepresented,Female,Non-first gen,0.075077778,478.1666667,369.4166667,0.214285714,57.5,2.865,3.51,16,0.561915066,"Spring, 2019",UW
348,3,uw2,Non-underrepresented,Female,Non-first gen,0.117205456,456,247.0714286,1,33.71428571,3.078888889,3.35,13,-1.000208817,"Spring, 2019",UW
351,3,uw2,Non-underrepresented,Female,Non-first gen,0.07112902,432.9285714,415.6964286,1,42.25,3.405,3.04,12,-1.520916778,"Spring, 2019",UW
352,3,uw2,Underrepresented,Female,Non-first gen,0.110837191,402.12,544.1,0.892857143,53.92,3.688928571,3.89,14,-0.479500856,"Spring, 2019",UW
354,3,uw2,Non-underrepresented,Female,Non-first gen,0.125174638,371.2222222,294.1851852,0.964285714,51.2962963,3.823235294,3.95,18,1.603330987,"Spring, 2019",UW
355,3,uw2,Non-underrepresented,Female,Non-first gen,0.018477747,323.4285714,340.625,1,23.46428571,3.57,3.63,16,0.561915066,"Spring, 2019",UW
356,3,uw2,Non-underrepresented,Female,Non-first gen,0.037849032,428.25,292.1071429,1,33.82142857,3.726206897,3.59,18,1.603330987,"Spring, 2019",UW
360,3,uw2,Non-underrepresented,Female,Non-first gen,1.173676269,349.3928571,423.4642857,1,64.85714286,2.98,3.07,15,0.041207105,"Spring, 2019",UW
363,3,uw2,Non-underrepresented,Female,Non-first gen,0.180828402,435.6428571,308.6071429,0.5,35.64285714,3.775,3.7,15,0.041207105,"Spring, 2019",UW
364,3,uw2,Non-underrepresented,Female,Non-first gen,0.259393424,449.3636364,315.5454545,0.785714286,49.81818182,3.500967742,3.47,16,0.561915066,"Spring, 2019",UW
365,3,uw2,Non-underrepresented,Female,Non-first gen,0.506566072,387.9285714,456.5,1,79.39285714,2.947142857,3.33,17,1.082623027,"Spring, 2019",UW
366,3,uw2,Underrepresented,Female,Non-first gen,0.083427816,486.6363636,328.3863636,0.785714286,64.90909091,3.0975,3.3,15,0.041207105,"Spring, 2019",UW
369,3,uw2,Non-underrepresented,Female,Non-first gen,0.039382807,437.1851852,347.6481481,0.964285714,27.37037037,3.803333333,3.76,18,1.603330987,"Spring, 2019",UW
373,3,uw2,Non-underrepresented,Female,Non-first gen,0.061013725,409.4814815,308.4444444,0.964285714,36.81481481,3.155454545,3.41,13,-1.000208817,"Spring, 2019",UW
378,3,uw2,Non-underrepresented,Female,Non-first gen,0.052619576,456,307.1296296,0.964285714,39.77777778,3.88,3.78,13,-1.000208817,"Spring, 2019",UW
